case_id,event_position,activity_name,timestamp,label,case,anomaly_type,anomaly_description
5,2,Activity AI,2020-06-27 15:29:50:228,normal,normal,-,"-"
5,3,Activity AP,2020-06-27 16:19:29:435,normal,normal,-,"-"
5,4,Activity AQ,2020-06-27 17:06:43:009,normal,normal,-,"-"
5,5,Activity AR,2020-06-27 17:38:52:874,normal,normal,-,"-"
5,6,Activity AS,2020-06-27 18:32:00:217,normal,normal,-,"-"
5,7,Activity AJ,2020-06-27 19:31:38:106,normal,normal,-,"-"
5,8,Activity B,2020-06-27 20:12:34:203,normal,normal,-,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:33:07:971,normal,normal,-,"-"
6,2,Activity AT,2020-06-27 15:23:12:182,normal,normal,-,"-"
6,3,Activity AY,2020-06-27 16:15:46:718,normal,normal,-,"-"
6,4,Activity AZ,2020-06-27 17:03:56:430,normal,normal,-,"-"
6,5,Activity BA,2020-06-27 17:49:03:728,normal,normal,-,"-"
6,6,Activity BB,2020-06-27 18:44:55:742,normal,normal,-,"-"
6,7,Activity AU,2020-06-27 19:26:55:136,normal,normal,-,"-"
6,8,Activity B,2020-06-27 19:56:53:536,normal,normal,-,"-"
6,9,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:33:17:971,normal,normal,-,"-"
7,2,Activity AI,2020-06-27 15:02:15:576,normal,normal,-,"-"
7,3,Activity AL,2020-06-27 16:01:29:852,normal,normal,-,"-"
7,4,Activity AM,2020-06-27 16:49:25:805,normal,normal,-,"-"
7,5,Activity AN,2020-06-27 17:09:54:536,normal,normal,-,"-"
7,6,Activity AO,2020-06-27 18:01:09:750,normal,normal,-,"-"
7,7,Activity AJ,2020-06-27 18:37:19:437,normal,normal,-,"-"
7,8,Activity B,2020-06-27 19:34:05:188,normal,normal,-,"-"
7,9,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:33:27:971,normal,normal,-,"-"
8,2,Activity C,2020-06-27 15:11:58:232,normal,normal,-,"-"
8,3,Activity D,2020-06-27 16:05:25:282,normal,normal,-,"-"
8,4,Activity E,2020-06-27 16:40:36:094,normal,normal,-,"-"
8,5,Activity I,2020-06-27 17:36:42:595,normal,normal,-,"-"
8,6,Activity F,2020-06-27 18:25:24:794,normal,normal,-,"-"
8,7,Activity J,2020-06-27 19:14:52:348,normal,normal,-,"-"
8,8,Activity K,2020-06-27 20:10:02:986,normal,normal,-,"-"
8,9,Activity B,2020-06-27 21:08:54:580,normal,normal,-,"-"
8,10,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:33:37:971,normal,normal,-,"-"
9,2,Activity L,2020-06-27 14:53:20:216,normal,normal,-,"-"
9,3,Activity N,2020-06-27 15:52:18:584,normal,normal,-,"-"
9,4,Activity M,2020-06-27 16:38:00:859,normal,normal,-,"-"
9,5,Activity R,2020-06-27 17:29:15:427,normal,normal,-,"-"
9,6,Activity V,2020-06-27 18:16:28:622,normal,normal,-,"-"
9,7,Activity S,2020-06-27 19:01:47:092,normal,normal,-,"-"
9,8,Activity B,2020-06-27 20:00:48:665,normal,normal,-,"-"
9,9,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:33:47:971,normal,normal,-,"-"
10,2,Activity L,2020-06-27 15:02:13:713,normal,normal,-,"-"
10,3,Activity P,2020-06-27 15:48:16:451,normal,normal,-,"-"
10,4,Activity Q,2020-06-27 16:24:42:065,normal,normal,-,"-"
10,5,Activity M,2020-06-27 16:53:37:646,normal,normal,-,"-"
10,6,Activity R,2020-06-27 17:47:25:671,normal,normal,-,"-"
10,7,Activity W,2020-06-27 18:39:35:219,normal,normal,-,"-"
10,8,Activity Y,2020-06-27 19:23:44:247,normal,normal,-,"-"
10,9,Activity X,2020-06-27 20:12:28:054,normal,normal,-,"-"
10,10,Activity S,2020-06-27 20:43:27:475,normal,normal,-,"-"
10,11,Activity B,2020-06-27 21:28:14:390,normal,normal,-,"-"
10,12,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:33:57:971,normal,normal,-,"-"
11,2,Activity AI,2020-06-27 15:10:48:795,normal,normal,-,"-"
11,3,Activity AL,2020-06-27 15:58:53:054,normal,normal,-,"-"
11,4,Activity AM,2020-06-27 16:44:51:913,normal,normal,-,"-"
11,5,Activity AN,2020-06-27 17:14:59:841,normal,normal,-,"-"
11,6,Activity AO,2020-06-27 18:13:14:446,normal,normal,-,"-"
11,7,Activity AJ,2020-06-27 19:03:19:797,normal,normal,-,"-"
11,8,Activity B,2020-06-27 19:35:42:019,normal,normal,-,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:34:07:971,normal,normal,-,"-"
12,2,Activity AI,2020-06-27 14:56:18:693,normal,normal,-,"-"
12,3,Activity AP,2020-06-27 15:44:16:294,normal,normal,-,"-"
12,4,Activity AQ,2020-06-27 16:15:38:706,normal,normal,-,"-"
12,5,Activity AR,2020-06-27 17:13:16:714,normal,normal,-,"-"
12,6,Activity AS,2020-06-27 18:02:05:126,normal,normal,-,"-"
12,7,Activity AJ,2020-06-27 18:37:03:205,normal,normal,-,"-"
12,8,Activity B,2020-06-27 19:12:40:460,normal,normal,-,"-"
12,9,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:34:17:971,normal,normal,-,"-"
13,2,Activity C,2020-06-27 15:23:28:499,normal,normal,-,"-"
13,3,Activity D,2020-06-27 16:20:26:019,normal,normal,-,"-"
13,4,Activity E,2020-06-27 17:17:09:913,normal,normal,-,"-"
13,5,Activity I,2020-06-27 17:33:26:643,normal,normal,-,"-"
13,6,Activity F,2020-06-27 18:25:33:912,normal,normal,-,"-"
13,7,Activity J,2020-06-27 19:15:50:330,normal,normal,-,"-"
13,8,Activity K,2020-06-27 19:59:22:711,normal,normal,-,"-"
13,9,Activity B,2020-06-27 20:54:06:484,normal,normal,-,"-"
13,10,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 14:34:27:971,normal,normal,-,"-"
14,2,Activity C,2020-06-27 14:56:15:151,normal,normal,-,"-"
14,3,Activity D,2020-06-27 15:53:42:965,normal,normal,-,"-"
14,4,Activity E,2020-06-27 16:43:47:323,normal,normal,-,"-"
14,5,Activity I,2020-06-27 17:35:12:429,normal,normal,-,"-"
14,6,Activity F,2020-06-27 18:35:11:871,normal,normal,-,"-"
14,7,Activity J,2020-06-27 19:34:04:404,normal,normal,-,"-"
14,8,Activity K,2020-06-27 20:33:14:218,normal,normal,-,"-"
14,9,Activity B,2020-06-27 21:23:50:467,normal,normal,-,"-"
14,10,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 14:34:37:971,normal,normal,-,"-"
15,2,Activity AI,2020-06-27 15:03:13:851,normal,normal,-,"-"
15,3,Activity AL,2020-06-27 15:50:06:420,normal,normal,-,"-"
15,4,Activity AM,2020-06-27 16:45:58:278,normal,normal,-,"-"
15,5,Activity AN,2020-06-27 17:42:04:426,normal,normal,-,"-"
15,6,Activity AO,2020-06-27 18:28:58:609,normal,normal,-,"-"
15,7,Activity AJ,2020-06-27 19:14:53:751,normal,normal,-,"-"
15,8,Activity B,2020-06-27 20:14:50:079,normal,normal,-,"-"
15,9,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 14:34:47:971,normal,normal,-,"-"
16,2,Activity AI,2020-06-27 15:12:07:766,normal,normal,-,"-"
16,3,Activity AK,2020-06-27 16:11:47:414,normal,normal,-,"-"
16,4,Activity AJ,2020-06-27 16:51:54:693,normal,normal,-,"-"
16,5,Activity B,2020-06-27 17:41:46:355,normal,normal,-,"-"
16,6,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 14:34:57:971,normal,normal,-,"-"
17,2,Activity L,2020-06-27 14:52:58:252,normal,normal,-,"-"
17,3,Activity N,2020-06-27 15:42:31:410,normal,normal,-,"-"
17,4,Activity M,2020-06-27 16:32:26:473,normal,normal,-,"-"
17,5,Activity R,2020-06-27 16:52:12:564,normal,normal,-,"-"
17,6,Activity T,2020-06-27 17:49:35:780,normal,normal,-,"-"
17,7,Activity U,2020-06-27 18:47:56:685,normal,normal,-,"-"
17,8,Activity S,2020-06-27 19:47:03:189,normal,normal,-,"-"
17,9,Activity B,2020-06-27 20:39:53:655,normal,normal,-,"-"
17,10,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 14:35:07:971,normal,normal,-,"-"
18,2,Activity AI,2020-06-27 14:53:37:209,normal,normal,-,"-"
18,3,Activity AL,2020-06-27 15:42:49:929,normal,normal,-,"-"
18,4,Activity AM,2020-06-27 16:35:37:708,normal,normal,-,"-"
18,5,Activity AN,2020-06-27 17:17:46:981,normal,normal,-,"-"
18,6,Activity AO,2020-06-27 18:14:43:057,normal,normal,-,"-"
18,7,Activity AJ,2020-06-27 18:58:45:526,normal,normal,-,"-"
18,8,Activity B,2020-06-27 19:28:22:592,normal,normal,-,"-"
18,9,■,,,,,""
19,0,▶,,,,,""
19,1,Activity A,2020-06-27 14:35:17:971,normal,normal,-,"-"
19,2,Activity L,2020-06-27 14:51:37:982,normal,normal,-,"-"
19,3,Activity P,2020-06-27 15:50:38:103,normal,normal,-,"-"
19,4,Activity Q,2020-06-27 16:33:41:470,normal,normal,-,"-"
19,5,Activity M,2020-06-27 17:16:44:313,normal,normal,-,"-"
19,6,Activity R,2020-06-27 18:07:17:478,normal,normal,-,"-"
19,7,Activity V,2020-06-27 18:54:12:680,normal,normal,-,"-"
19,8,Activity S,2020-06-27 19:10:13:213,normal,normal,-,"-"
19,9,Activity B,2020-06-27 20:05:39:521,normal,normal,-,"-"
19,10,■,,,,,""
20,0,▶,,,,,""
20,1,Activity V,2020-06-27 14:35:27:971,anomalous,normal,Early,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
20,2,Activity S,2020-06-27 14:51:27:710,anomalous,normal,Early,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
20,3,Activity A,2020-06-27 15:37:57:550,anomalous,normal,Early,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
20,4,Activity L,2020-06-27 16:21:42:133,anomalous,normal,Early,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
20,5,Activity O,2020-06-27 16:38:22:190,anomalous,normal,Early,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
20,6,Activity M,2020-06-27 17:31:26:784,anomalous,normal,Early,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
20,7,Activity R,2020-06-27 18:11:04:722,anomalous,normal,Early,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
20,8,Activity B,2020-06-27 18:59:00:748,anomalous,normal,Early,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
20,9,■,,,,,""
21,0,▶,,,,,""
21,1,Activity A,2020-06-27 14:35:37:971,normal,normal,-,"-"
21,2,Activity AI,2020-06-27 15:22:54:957,normal,normal,-,"-"
21,3,Activity AL,2020-06-27 16:20:37:828,normal,normal,-,"-"
21,4,Activity AM,2020-06-27 17:03:41:977,normal,normal,-,"-"
21,5,Activity AN,2020-06-27 17:37:54:725,normal,normal,-,"-"
21,6,Activity AO,2020-06-27 18:26:07:644,normal,normal,-,"-"
21,7,Activity AJ,2020-06-27 19:00:45:390,normal,normal,-,"-"
21,8,Activity B,2020-06-27 19:20:26:844,normal,normal,-,"-"
21,9,■,,,,,""
22,0,▶,,,,,""
22,1,Activity A,2020-06-27 14:35:47:971,normal,normal,-,"-"
22,2,Activity AI,2020-06-27 15:03:42:120,normal,normal,-,"-"
22,3,Activity AL,2020-06-27 15:51:48:118,normal,normal,-,"-"
22,4,Activity AM,2020-06-27 16:24:18:444,normal,normal,-,"-"
22,5,Activity AN,2020-06-27 16:47:02:186,normal,normal,-,"-"
22,6,Activity AO,2020-06-27 17:32:39:570,normal,normal,-,"-"
22,7,Activity AJ,2020-06-27 18:32:00:143,normal,normal,-,"-"
22,8,Activity B,2020-06-27 19:03:04:462,normal,normal,-,"-"
22,9,■,,,,,""
23,0,▶,,,,,""
23,1,Activity A,2020-06-27 14:35:57:971,normal,normal,-,"-"
23,2,Activity AI,2020-06-27 14:56:17:959,normal,normal,-,"-"
23,3,Activity AL,2020-06-27 15:49:12:030,normal,normal,-,"-"
23,4,Activity AM,2020-06-27 16:25:10:057,normal,normal,-,"-"
23,5,Activity AN,2020-06-27 17:00:03:931,normal,normal,-,"-"
23,6,Activity AO,2020-06-27 17:57:50:955,normal,normal,-,"-"
23,7,Activity AJ,2020-06-27 18:34:34:404,normal,normal,-,"-"
23,8,Activity B,2020-06-27 18:58:54:718,normal,normal,-,"-"
23,9,■,,,,,""
24,0,▶,,,,,""
24,1,Activity A,2020-06-27 14:36:07:971,normal,normal,-,"-"
24,2,Activity L,2020-06-27 15:32:17:753,normal,normal,-,"-"
24,3,Activity N,2020-06-27 16:24:00:707,normal,normal,-,"-"
24,4,Activity M,2020-06-27 16:56:48:888,normal,normal,-,"-"
24,5,Activity R,2020-06-27 17:26:20:401,normal,normal,-,"-"
24,6,Activity W,2020-06-27 18:22:14:303,normal,normal,-,"-"
24,7,Activity Z,2020-06-27 19:18:19:301,normal,normal,-,"-"
24,8,Activity X,2020-06-27 19:38:29:396,normal,normal,-,"-"
24,9,Activity S,2020-06-27 20:28:58:857,normal,normal,-,"-"
24,10,Activity B,2020-06-27 21:13:26:429,normal,normal,-,"-"
24,11,■,,,,,""
25,0,▶,,,,,""
25,1,Activity A,2020-06-27 14:36:17:971,normal,normal,-,"-"
25,2,Activity AI,2020-06-27 15:28:07:849,normal,normal,-,"-"
25,3,Activity AL,2020-06-27 16:26:04:633,normal,normal,-,"-"
25,4,Activity AM,2020-06-27 17:18:49:231,normal,normal,-,"-"
25,5,Activity AN,2020-06-27 18:14:41:240,normal,normal,-,"-"
25,6,Activity AO,2020-06-27 19:00:11:273,normal,normal,-,"-"
25,7,Activity AJ,2020-06-27 19:58:45:550,normal,normal,-,"-"
25,8,Activity B,2020-06-27 20:28:24:791,normal,normal,-,"-"
25,9,■,,,,,""
26,0,▶,,,,,""
26,1,Activity A,2020-06-27 14:36:27:971,normal,normal,-,"-"
26,2,Activity C,2020-06-27 15:31:01:049,normal,normal,-,"-"
26,3,Activity D,2020-06-27 16:21:50:997,normal,normal,-,"-"
26,4,Activity E,2020-06-27 17:11:12:657,normal,normal,-,"-"
26,5,Activity I,2020-06-27 18:07:36:427,normal,normal,-,"-"
26,6,Activity F,2020-06-27 19:04:36:577,normal,normal,-,"-"
26,7,Activity J,2020-06-27 19:59:44:689,normal,normal,-,"-"
26,8,Activity K,2020-06-27 20:18:35:905,normal,normal,-,"-"
26,9,Activity B,2020-06-27 21:14:49:623,normal,normal,-,"-"
26,10,■,,,,,""
27,0,▶,,,,,""
27,1,Activity A,2020-06-27 14:36:37:971,normal,normal,-,"-"
27,2,Activity AT,2020-06-27 15:29:25:974,normal,normal,-,"-"
27,3,Activity AY,2020-06-27 16:28:58:749,normal,normal,-,"-"
27,4,Activity AZ,2020-06-27 17:10:40:588,normal,normal,-,"-"
27,5,Activity BA,2020-06-27 17:42:12:022,normal,normal,-,"-"
27,6,Activity BB,2020-06-27 18:33:04:924,normal,normal,-,"-"
27,7,Activity AU,2020-06-27 19:32:35:829,normal,normal,-,"-"
27,8,Activity B,2020-06-27 20:06:56:483,normal,normal,-,"-"
27,9,■,,,,,""
28,0,▶,,,,,""
28,1,Activity A,2020-06-27 14:36:47:971,normal,normal,-,"-"
28,2,Activity C,2020-06-27 15:27:00:982,normal,normal,-,"-"
28,3,Activity D,2020-06-27 16:14:39:050,normal,normal,-,"-"
28,4,Activity E,2020-06-27 17:08:53:132,normal,normal,-,"-"
28,5,Activity I,2020-06-27 17:38:11:592,normal,normal,-,"-"
28,6,Activity F,2020-06-27 18:23:52:808,normal,normal,-,"-"
28,7,Activity J,2020-06-27 19:12:55:145,normal,normal,-,"-"
28,8,Activity K,2020-06-27 19:41:49:591,normal,normal,-,"-"
28,9,Activity B,2020-06-27 20:32:05:254,normal,normal,-,"-"
28,10,■,,,,,""
29,0,▶,,,,,""
29,1,Activity A,2020-06-27 14:36:57:971,normal,normal,-,"-"
29,2,Activity L,2020-06-27 15:14:35:050,normal,normal,-,"-"
29,3,Activity N,2020-06-27 16:14:05:849,normal,normal,-,"-"
29,4,Activity M,2020-06-27 17:00:09:056,normal,normal,-,"-"
29,5,Activity R,2020-06-27 17:54:43:307,normal,normal,-,"-"
29,6,Activity AC,2020-06-27 18:41:11:941,normal,normal,-,"-"
29,7,Activity AF,2020-06-27 19:20:56:134,normal,normal,-,"-"
29,8,Activity AD,2020-06-27 19:44:57:330,normal,normal,-,"-"
29,9,Activity S,2020-06-27 20:36:49:752,normal,normal,-,"-"
29,10,Activity B,2020-06-27 21:21:54:021,normal,normal,-,"-"
29,11,■,,,,,""
30,0,▶,,,,,""
30,1,Activity A,2020-06-27 14:37:07:971,normal,normal,-,"-"
30,2,Activity AI,2020-06-27 15:08:31:943,normal,normal,-,"-"
30,3,Activity AP,2020-06-27 16:03:56:108,normal,normal,-,"-"
30,4,Activity AQ,2020-06-27 16:48:54:284,normal,normal,-,"-"
30,5,Activity AR,2020-06-27 17:17:55:631,normal,normal,-,"-"
30,6,Activity AS,2020-06-27 18:07:58:438,normal,normal,-,"-"
30,7,Activity AJ,2020-06-27 18:56:56:230,normal,normal,-,"-"
30,8,Activity B,2020-06-27 19:53:31:057,normal,normal,-,"-"
30,9,■,,,,,""
31,0,▶,,,,,""
31,1,Activity A,2020-06-27 14:37:17:971,normal,normal,-,"-"
31,2,Activity L,2020-06-27 14:52:59:651,normal,normal,-,"-"
31,3,Activity N,2020-06-27 15:50:29:591,normal,normal,-,"-"
31,4,Activity M,2020-06-27 16:36:07:934,normal,normal,-,"-"
31,5,Activity R,2020-06-27 17:21:29:851,normal,normal,-,"-"
31,6,Activity V,2020-06-27 18:13:42:683,normal,normal,-,"-"
31,7,Activity S,2020-06-27 18:46:59:330,normal,normal,-,"-"
31,8,Activity B,2020-06-27 19:10:09:991,normal,normal,-,"-"
31,9,■,,,,,""
32,0,▶,,,,,""
32,1,Activity A,2020-06-27 14:37:27:971,normal,normal,-,"-"
32,2,Activity AT,2020-06-27 15:32:43:104,normal,normal,-,"-"
32,3,Activity AY,2020-06-27 16:27:03:806,normal,normal,-,"-"
32,4,Activity AZ,2020-06-27 16:58:14:619,normal,normal,-,"-"
32,5,Activity BA,2020-06-27 17:25:19:567,normal,normal,-,"-"
32,6,Activity BB,2020-06-27 18:13:46:742,normal,normal,-,"-"
32,7,Activity AU,2020-06-27 18:58:44:947,normal,normal,-,"-"
32,8,Activity B,2020-06-27 19:46:33:685,normal,normal,-,"-"
32,9,■,,,,,""
33,0,▶,,,,,""
33,1,Activity A,2020-06-27 14:37:37:971,normal,normal,-,"-"
33,2,Activity AI,2020-06-27 15:30:23:981,normal,normal,-,"-"
33,3,Activity AL,2020-06-27 16:24:40:207,normal,normal,-,"-"
33,4,Activity AM,2020-06-27 17:08:21:359,normal,normal,-,"-"
33,5,Activity AN,2020-06-27 17:54:52:757,normal,normal,-,"-"
33,6,Activity AO,2020-06-27 18:41:58:458,normal,normal,-,"-"
33,7,Activity AJ,2020-06-27 19:16:37:034,normal,normal,-,"-"
33,8,Activity B,2020-06-27 19:35:36:537,normal,normal,-,"-"
33,9,■,,,,,""
34,0,▶,,,,,""
34,1,Activity A,2020-06-27 14:37:47:971,normal,normal,-,"-"
34,2,Activity C,2020-06-27 15:35:36:508,normal,normal,-,"-"
34,3,Activity D,2020-06-27 16:31:56:104,normal,normal,-,"-"
34,4,Activity E,2020-06-27 17:09:17:969,normal,normal,-,"-"
34,5,Activity I,2020-06-27 18:03:14:946,normal,normal,-,"-"
34,6,Activity F,2020-06-27 18:57:49:313,normal,normal,-,"-"
34,7,Activity J,2020-06-27 19:33:53:606,normal,normal,-,"-"
34,8,Activity K,2020-06-27 19:53:55:621,normal,normal,-,"-"
34,9,Activity B,2020-06-27 20:44:01:972,normal,normal,-,"-"
34,10,■,,,,,""
35,0,▶,,,,,""
35,1,Activity A,2020-06-27 14:37:57:971,normal,normal,-,"-"
35,2,Activity AI,2020-06-27 15:27:22:526,normal,normal,-,"-"
35,3,Activity AP,2020-06-27 16:17:55:972,normal,normal,-,"-"
35,4,Activity AQ,2020-06-27 17:01:10:475,normal,normal,-,"-"
35,5,Activity AR,2020-06-27 17:50:06:129,normal,normal,-,"-"
35,6,Activity AS,2020-06-27 18:45:54:832,normal,normal,-,"-"
35,7,Activity AJ,2020-06-27 19:37:02:119,normal,normal,-,"-"
35,8,Activity B,2020-06-27 20:01:38:232,normal,normal,-,"-"
35,9,■,,,,,""
36,0,▶,,,,,""
36,1,Activity A,2020-06-27 14:38:07:971,normal,normal,-,"-"
36,2,Activity AT,2020-06-27 15:32:58:948,normal,normal,-,"-"
36,3,Activity AY,2020-06-27 16:21:08:692,normal,normal,-,"-"
36,4,Activity AZ,2020-06-27 17:07:33:353,normal,normal,-,"-"
36,5,Activity BA,2020-06-27 17:57:59:595,normal,normal,-,"-"
36,6,Activity BB,2020-06-27 18:43:04:877,normal,normal,-,"-"
36,7,Activity AU,2020-06-27 19:37:14:557,normal,normal,-,"-"
36,8,Activity B,2020-06-27 20:02:51:156,normal,normal,-,"-"
36,9,■,,,,,""
37,0,▶,,,,,""
37,1,Activity A,2020-06-27 14:38:17:971,normal,normal,-,"-"
37,2,Activity L,2020-06-27 14:58:02:564,normal,normal,-,"-"
37,3,Activity N,2020-06-27 15:48:11:202,normal,normal,-,"-"
37,4,Activity M,2020-06-27 16:47:36:569,normal,normal,-,"-"
37,5,Activity R,2020-06-27 17:15:13:709,normal,normal,-,"-"
37,6,Activity AC,2020-06-27 18:07:40:032,normal,normal,-,"-"
37,7,Activity AF,2020-06-27 19:04:12:146,normal,normal,-,"-"
37,8,Activity AD,2020-06-27 19:44:00:470,normal,normal,-,"-"
37,9,Activity S,2020-06-27 20:34:02:220,normal,normal,-,"-"
37,10,Activity B,2020-06-27 21:10:44:114,normal,normal,-,"-"
37,11,■,,,,,""
38,0,▶,,,,,""
38,1,Activity A,2020-06-27 14:38:27:971,normal,normal,-,"-"
38,2,Activity AI,2020-06-27 15:16:26:141,normal,normal,-,"-"
38,3,Activity AL,2020-06-27 16:15:12:033,normal,normal,-,"-"
38,4,Activity AM,2020-06-27 16:48:43:364,normal,normal,-,"-"
38,5,Activity AN,2020-06-27 17:07:01:087,normal,normal,-,"-"
38,6,Activity AO,2020-06-27 17:58:44:271,normal,normal,-,"-"
38,7,Activity AJ,2020-06-27 18:48:52:419,normal,normal,-,"-"
38,8,Activity B,2020-06-27 19:05:28:399,normal,normal,-,"-"
38,9,■,,,,,""
39,0,▶,,,,,""
39,1,Activity A,2020-06-27 14:38:37:971,normal,normal,-,"-"
39,2,Activity C,2020-06-27 15:12:51:371,normal,normal,-,"-"
39,3,Activity D,2020-06-27 16:01:28:391,normal,normal,-,"-"
39,4,Activity E,2020-06-27 16:52:04:145,normal,normal,-,"-"
39,5,Activity I,2020-06-27 17:10:36:891,normal,normal,-,"-"
39,6,Activity F,2020-06-27 17:57:35:917,normal,normal,-,"-"
39,7,Activity J,2020-06-27 18:50:42:752,normal,normal,-,"-"
39,8,Activity K,2020-06-27 19:15:42:557,normal,normal,-,"-"
39,9,Activity B,2020-06-27 20:08:10:061,normal,normal,-,"-"
39,10,■,,,,,""
40,0,▶,,,,,""
40,1,Activity A,2020-06-27 14:38:47:971,normal,normal,-,"-"
40,2,Activity AI,2020-06-27 14:56:27:296,normal,normal,-,"-"
40,3,Activity AP,2020-06-27 15:41:34:485,normal,normal,-,"-"
40,4,Activity AQ,2020-06-27 16:33:39:991,normal,normal,-,"-"
40,5,Activity AR,2020-06-27 16:58:28:355,normal,normal,-,"-"
40,6,Activity AS,2020-06-27 17:48:46:988,normal,normal,-,"-"
40,7,Activity AJ,2020-06-27 18:42:22:210,normal,normal,-,"-"
40,8,Activity B,2020-06-27 19:33:29:004,normal,normal,-,"-"
40,9,■,,,,,""
41,0,▶,,,,,""
41,1,Activity A,2020-06-27 14:38:57:971,normal,normal,-,"-"
41,2,Activity L,2020-06-27 15:35:15:582,normal,normal,-,"-"
41,3,Activity N,2020-06-27 16:22:01:823,normal,normal,-,"-"
41,4,Activity M,2020-06-27 17:04:23:522,normal,normal,-,"-"
41,5,Activity R,2020-06-27 17:19:53:439,normal,normal,-,"-"
41,6,Activity AC,2020-06-27 18:06:42:523,normal,normal,-,"-"
41,7,Activity AH,2020-06-27 18:51:23:900,normal,normal,-,"-"
41,8,Activity AD,2020-06-27 19:07:56:472,normal,normal,-,"-"
41,9,Activity S,2020-06-27 20:02:06:050,normal,normal,-,"-"
41,10,Activity B,2020-06-27 20:34:06:763,normal,normal,-,"-"
41,11,■,,,,,""
42,0,▶,,,,,""
