case_id,event_position,activity_name,timestamp,label,anomaly_type,anomaly_description
8,3,Activity AE,,normal,-,-
8,4,Activity AC,,normal,-,-
8,5,Activity AG,,normal,-,-
8,6,Activity AK,,normal,-,-
8,7,Activity AH,,normal,-,-
8,8,Activity AL,,normal,-,-
8,9,Activity AN,,normal,-,-
8,10,Activity AM,,normal,-,-
8,11,Activity AP,,normal,-,-
8,12,Activity B,,normal,-,-
8,13,■,,normal,-,-
9,0,▶,,normal,-,-
9,1,Activity A,,normal,-,-
9,2,Activity Q,,normal,-,-
9,3,Activity R,,normal,-,-
9,4,Activity S,,normal,-,-
9,5,Activity T,,normal,-,-
9,6,Activity U,,normal,-,-
9,7,Activity V,,normal,-,-
9,8,Activity X,,normal,-,-
9,9,Activity W,,normal,-,-
9,10,Activity B,,normal,-,-
9,11,■,,normal,-,-
10,0,▶,,normal,-,-
10,1,Activity A,,normal,-,-
10,2,Activity AB,,normal,-,-
10,3,Activity AE,,normal,-,-
10,4,Activity AC,,normal,-,-
10,5,Activity AG,,normal,-,-
10,6,Activity AJ,,normal,-,-
10,7,Activity AH,,normal,-,-
10,8,Activity AL,,normal,-,-
10,9,Activity AN,,normal,-,-
10,10,Activity AM,,normal,-,-
10,11,Activity AP,,normal,-,-
10,12,Activity B,,normal,-,-
10,13,■,,normal,-,-
11,0,▶,,normal,-,-
11,1,Activity A,,normal,-,-
11,2,Activity AB,,normal,-,-
11,3,Activity AE,,normal,-,-
11,4,Activity AC,,normal,-,-
11,5,Activity AG,,normal,-,-
11,6,Activity AJ,,normal,-,-
11,7,Activity AH,,normal,-,-
11,8,Activity AL,,normal,-,-
11,9,Activity AO,,normal,-,-
11,10,Activity AM,,normal,-,-
11,11,Activity AP,,normal,-,-
11,12,Activity B,,normal,-,-
11,13,■,,normal,-,-
12,0,▶,,normal,-,-
12,1,Activity A,,normal,-,-
12,2,Activity Q,,normal,-,-
12,3,Activity R,,normal,-,-
12,4,Activity S,,normal,-,-
12,5,Activity T,,normal,-,-
12,6,Activity U,,normal,-,-
12,7,Activity V,,normal,-,-
12,8,Activity Z,,normal,-,-
12,9,Activity W,,normal,-,-
12,10,Activity B,,normal,-,-
12,11,■,,normal,-,-
13,0,▶,,normal,-,-
13,1,Activity A,,normal,-,-
13,2,Activity C,,normal,-,-
13,3,Activity D,,normal,-,-
13,4,Activity E,,normal,-,-
13,5,Activity H,,normal,-,-
13,6,Activity F,,normal,-,-
13,7,Activity I,,normal,-,-
13,8,Activity M,,normal,-,-
13,9,Activity N,,normal,-,-
13,10,Activity J,,normal,-,-
13,11,Activity B,,normal,-,-
13,12,■,,normal,-,-
14,0,▶,,normal,-,-
14,1,Activity A,,normal,-,-
14,2,Activity AB,,normal,-,-
14,3,Activity AE,,normal,-,-
14,4,Activity AC,,normal,-,-
14,5,Activity AG,,normal,-,-
14,6,Activity AI,,normal,-,-
14,7,Activity AH,,normal,-,-
14,8,Activity AL,,normal,-,-
14,9,Activity AO,,normal,-,-
14,10,Activity AM,,normal,-,-
14,11,Activity AP,,normal,-,-
14,12,Activity B,,normal,-,-
14,13,■,,normal,-,-
15,0,▶,,normal,-,-
15,1,Activity A,,normal,-,-
15,2,Activity AB,,normal,-,-
15,3,Activity AE,,normal,-,-
15,4,Activity AC,,normal,-,-
15,5,Activity AG,,normal,-,-
15,6,Activity AK,,normal,-,-
15,7,Activity AH,,normal,-,-
15,8,Activity AL,,normal,-,-
15,9,Activity AO,,normal,-,-
15,10,Activity AM,,normal,-,-
15,11,Activity AP,,normal,-,-
15,12,Activity B,,normal,-,-
15,13,■,,normal,-,-
16,0,▶,,normal,-,-
16,1,Activity A,,normal,-,-
16,2,Activity AB,,normal,-,-
16,3,Activity AE,,normal,-,-
16,4,Activity AC,,normal,-,-
16,5,Activity AG,,normal,-,-
16,6,Activity AI,,normal,-,-
16,7,Activity AH,,normal,-,-
16,8,Activity AL,,normal,-,-
16,9,Activity AO,,normal,-,-
16,10,Activity AM,,normal,-,-
16,11,Activity AP,,normal,-,-
16,12,Activity B,,normal,-,-
16,13,■,,normal,-,-
17,0,▶,,normal,-,-
17,1,Activity A,,normal,-,-
17,2,Activity C,,normal,-,-
17,3,Activity D,,normal,-,-
17,4,Activity E,,normal,-,-
17,5,Activity G,,normal,-,-
17,6,Activity F,,normal,-,-
17,7,Activity I,,normal,-,-
17,8,Activity O,,normal,-,-
17,9,Activity P,,normal,-,-
17,10,Activity J,,normal,-,-
17,11,Activity B,,normal,-,-
17,12,■,,normal,-,-
18,0,▶,,normal,-,-
18,1,Activity A,,normal,-,-
18,2,Activity C,,normal,-,-
18,3,Activity D,,normal,-,-
18,4,Activity E,,normal,-,-
18,5,Activity H,,normal,-,-
18,6,Activity F,,normal,-,-
18,7,Activity I,,normal,-,-
18,8,Activity M,,normal,-,-
18,9,Activity N,,normal,-,-
18,10,Activity J,,normal,-,-
18,11,Activity B,,normal,-,-
18,12,■,,normal,-,-
19,0,▶,,normal,-,-
19,1,Activity A,,normal,-,-
19,2,Activity AB,,normal,-,-
19,3,Activity AF,,normal,-,-
19,4,Activity AC,,normal,-,-
19,5,Activity AG,,normal,-,-
19,6,Activity AJ,,normal,-,-
19,7,Activity AH,,normal,-,-
19,8,Activity AL,,normal,-,-
19,9,Activity AO,,normal,-,-
19,10,Activity AM,,normal,-,-
19,11,Activity AP,,normal,-,-
19,12,Activity B,,normal,-,-
19,13,■,,normal,-,-
20,0,▶,,normal,-,-
20,1,Activity A,,normal,-,-
20,2,Activity C,,normal,-,-
20,3,Activity D,,normal,-,-
20,4,Activity E,,normal,-,-
20,5,Activity H,,normal,-,-
20,6,Activity F,,normal,-,-
20,7,Activity I,,normal,-,-
20,8,Activity O,,normal,-,-
20,9,Activity P,,normal,-,-
20,10,Activity J,,normal,-,-
20,11,Activity B,,normal,-,-
20,12,■,,normal,-,-
21,0,▶,,normal,-,-
21,1,Activity A,,normal,-,-
21,2,Activity C,,normal,-,-
21,3,Activity D,,normal,-,-
21,4,Activity E,,normal,-,-
21,5,Activity G,,normal,-,-
21,6,Activity F,,normal,-,-
21,7,Activity I,,normal,-,-
21,8,Activity M,,normal,-,-
21,9,Activity N,,normal,-,-
21,10,Activity J,,normal,-,-
21,11,Activity B,,normal,-,-
21,12,■,,normal,-,-
22,0,▶,,normal,-,-
22,1,Activity A,,normal,-,-
22,2,Activity C,,normal,-,-
22,3,Activity D,,normal,-,-
22,4,Activity E,,normal,-,-
22,5,Activity H,,normal,-,-
22,6,Activity F,,normal,-,-
22,7,Activity I,,normal,-,-
22,8,Activity O,,normal,-,-
22,9,Activity P,,normal,-,-
22,10,Activity J,,normal,-,-
22,11,Activity B,,normal,-,-
22,12,■,,normal,-,-
23,0,▶,,normal,-,-
23,1,Activity A,,normal,-,-
23,2,Activity C,,normal,-,-
23,3,Activity D,,normal,-,-
23,4,Activity E,,normal,-,-
23,5,Activity H,,normal,-,-
23,6,Activity F,,normal,-,-
23,7,Activity I,,normal,-,-
23,8,Activity M,,normal,-,-
23,9,Activity N,,normal,-,-
23,10,Activity J,,normal,-,-
23,11,Activity B,,normal,-,-
23,12,■,,normal,-,-
24,0,▶,,anomalous,Rework,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
24,1,Activity A,,anomalous,Rework,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
24,2,Activity C,,anomalous,Rework,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
24,3,Activity A,,anomalous,Rework,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
24,4,Activity C,,anomalous,Rework,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
24,5,Activity D,,anomalous,Rework,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
24,6,Activity E,,anomalous,Rework,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
24,7,Activity H,,anomalous,Rework,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
24,8,Activity F,,anomalous,Rework,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
24,9,Activity I,,anomalous,Rework,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
24,10,Activity M,,anomalous,Rework,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
24,11,Activity N,,anomalous,Rework,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
24,12,Activity J,,anomalous,Rework,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
24,13,Activity B,,anomalous,Rework,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
24,14,■,,anomalous,Rework,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}, {'name': 'Activity C', 'timestamp': None, 'timestamp_end': None, 'attributes': {}}]}"
25,0,▶,,normal,-,-
25,1,Activity A,,normal,-,-
25,2,Activity AB,,normal,-,-
25,3,Activity AE,,normal,-,-
25,4,Activity AC,,normal,-,-
25,5,Activity AG,,normal,-,-
25,6,Activity AK,,normal,-,-
25,7,Activity AH,,normal,-,-
25,8,Activity AL,,normal,-,-
25,9,Activity AO,,normal,-,-
25,10,Activity AM,,normal,-,-
25,11,Activity AP,,normal,-,-
25,12,Activity B,,normal,-,-
25,13,■,,normal,-,-
26,0,▶,,normal,-,-
26,1,Activity A,,normal,-,-
26,2,Activity AB,,normal,-,-
26,3,Activity AD,,normal,-,-
26,4,Activity AC,,normal,-,-
26,5,Activity AG,,normal,-,-
26,6,Activity AJ,,normal,-,-
26,7,Activity AH,,normal,-,-
26,8,Activity AL,,normal,-,-
26,9,Activity AN,,normal,-,-
26,10,Activity AM,,normal,-,-
26,11,Activity AP,,normal,-,-
26,12,Activity B,,normal,-,-
26,13,■,,normal,-,-
27,0,▶,,normal,-,-
27,1,Activity A,,normal,-,-
27,2,Activity C,,normal,-,-
27,3,Activity D,,normal,-,-
27,4,Activity E,,normal,-,-
27,5,Activity G,,normal,-,-
27,6,Activity F,,normal,-,-
27,7,Activity I,,normal,-,-
27,8,Activity O,,normal,-,-
27,9,Activity P,,normal,-,-
27,10,Activity J,,normal,-,-
27,11,Activity B,,normal,-,-
27,12,■,,normal,-,-
28,0,▶,,normal,-,-
28,1,Activity A,,normal,-,-
28,2,Activity C,,normal,-,-
28,3,Activity D,,normal,-,-
28,4,Activity E,,normal,-,-
28,5,Activity G,,normal,-,-
28,6,Activity F,,normal,-,-
28,7,Activity I,,normal,-,-
28,8,Activity O,,normal,-,-
28,9,Activity P,,normal,-,-
28,10,Activity J,,normal,-,-
28,11,Activity B,,normal,-,-
28,12,■,,normal,-,-
29,0,▶,,normal,-,-
29,1,Activity A,,normal,-,-
29,2,Activity C,,normal,-,-
29,3,Activity D,,normal,-,-
29,4,Activity E,,normal,-,-
29,5,Activity H,,normal,-,-
29,6,Activity F,,normal,-,-
29,7,Activity I,,normal,-,-
29,8,Activity M,,normal,-,-
29,9,Activity N,,normal,-,-
29,10,Activity J,,normal,-,-
29,11,Activity B,,normal,-,-
29,12,■,,normal,-,-
30,0,▶,,normal,-,-
30,1,Activity A,,normal,-,-
30,2,Activity C,,normal,-,-
30,3,Activity D,,normal,-,-
30,4,Activity E,,normal,-,-
30,5,Activity H,,normal,-,-
30,6,Activity F,,normal,-,-
30,7,Activity I,,normal,-,-
30,8,Activity M,,normal,-,-
30,9,Activity N,,normal,-,-
30,10,Activity J,,normal,-,-
30,11,Activity B,,normal,-,-
30,12,■,,normal,-,-
31,0,▶,,normal,-,-
31,1,Activity A,,normal,-,-
31,2,Activity C,,normal,-,-
31,3,Activity D,,normal,-,-
31,4,Activity E,,normal,-,-
31,5,Activity H,,normal,-,-
31,6,Activity F,,normal,-,-
31,7,Activity I,,normal,-,-
31,8,Activity M,,normal,-,-
31,9,Activity N,,normal,-,-
31,10,Activity J,,normal,-,-
31,11,Activity B,,normal,-,-
31,12,■,,normal,-,-
32,0,▶,,normal,-,-
32,1,Activity A,,normal,-,-
32,2,Activity C,,normal,-,-
32,3,Activity D,,normal,-,-
32,4,Activity E,,normal,-,-
32,5,Activity H,,normal,-,-
32,6,Activity F,,normal,-,-
32,7,Activity I,,normal,-,-
32,8,Activity M,,normal,-,-
32,9,Activity N,,normal,-,-
32,10,Activity J,,normal,-,-
32,11,Activity B,,normal,-,-
32,12,■,,normal,-,-
33,0,▶,,normal,-,-
33,1,Activity A,,normal,-,-
33,2,Activity C,,normal,-,-
33,3,Activity D,,normal,-,-
33,4,Activity E,,normal,-,-
33,5,Activity H,,normal,-,-
33,6,Activity F,,normal,-,-
33,7,Activity I,,normal,-,-
33,8,Activity O,,normal,-,-
33,9,Activity P,,normal,-,-
33,10,Activity J,,normal,-,-
33,11,Activity B,,normal,-,-
33,12,■,,normal,-,-
34,0,▶,,normal,-,-
34,1,Activity A,,normal,-,-
34,2,Activity Q,,normal,-,-
34,3,Activity R,,normal,-,-
34,4,Activity S,,normal,-,-
34,5,Activity T,,normal,-,-
34,6,Activity U,,normal,-,-
34,7,Activity V,,normal,-,-
34,8,Activity Z,,normal,-,-
34,9,Activity W,,normal,-,-
34,10,Activity B,,normal,-,-
34,11,■,,normal,-,-
35,0,▶,,normal,-,-
35,1,Activity A,,normal,-,-
35,2,Activity AB,,normal,-,-
35,3,Activity AE,,normal,-,-
35,4,Activity AC,,normal,-,-
35,5,Activity AG,,normal,-,-
35,6,Activity AK,,normal,-,-
35,7,Activity AH,,normal,-,-
35,8,Activity AL,,normal,-,-
35,9,Activity AN,,normal,-,-
35,10,Activity AM,,normal,-,-
35,11,Activity AP,,normal,-,-
35,12,Activity B,,normal,-,-
35,13,■,,normal,-,-
36,0,▶,,normal,-,-
36,1,Activity A,,normal,-,-
36,2,Activity AB,,normal,-,-
36,3,Activity AE,,normal,-,-
36,4,Activity AC,,normal,-,-
36,5,Activity AG,,normal,-,-
36,6,Activity AK,,normal,-,-
36,7,Activity AH,,normal,-,-
36,8,Activity AL,,normal,-,-
36,9,Activity AN,,normal,-,-
36,10,Activity AM,,normal,-,-
36,11,Activity AP,,normal,-,-
36,12,Activity B,,normal,-,-
36,13,■,,normal,-,-
37,0,▶,,normal,-,-
37,1,Activity A,,normal,-,-
37,2,Activity C,,normal,-,-
37,3,Activity D,,normal,-,-
37,4,Activity E,,normal,-,-
37,5,Activity G,,normal,-,-
37,6,Activity F,,normal,-,-
37,7,Activity I,,normal,-,-
37,8,Activity O,,normal,-,-
37,9,Activity P,,normal,-,-
37,10,Activity J,,normal,-,-
37,11,Activity B,,normal,-,-
37,12,■,,normal,-,-
38,0,▶,,normal,-,-
38,1,Activity A,,normal,-,-
38,2,Activity AB,,normal,-,-
38,3,Activity AF,,normal,-,-
38,4,Activity AC,,normal,-,-
38,5,Activity AG,,normal,-,-
38,6,Activity AJ,,normal,-,-
38,7,Activity AH,,normal,-,-
38,8,Activity AL,,normal,-,-
38,9,Activity AN,,normal,-,-
38,10,Activity AM,,normal,-,-
38,11,Activity AP,,normal,-,-
38,12,Activity B,,normal,-,-
38,13,■,,normal,-,-
39,0,▶,,normal,-,-
39,1,Activity A,,normal,-,-
39,2,Activity C,,normal,-,-
39,3,Activity D,,normal,-,-
39,4,Activity E,,normal,-,-
39,5,Activity G,,normal,-,-
39,6,Activity F,,normal,-,-
39,7,Activity I,,normal,-,-
39,8,Activity M,,normal,-,-
39,9,Activity N,,normal,-,-
39,10,Activity J,,normal,-,-
39,11,Activity B,,normal,-,-
39,12,■,,normal,-,-
40,0,▶,,normal,-,-
40,1,Activity A,,normal,-,-
40,2,Activity Q,,normal,-,-
40,3,Activity R,,normal,-,-
40,4,Activity S,,normal,-,-
40,5,Activity T,,normal,-,-
40,6,Activity U,,normal,-,-
40,7,Activity V,,normal,-,-
40,8,Activity X,,normal,-,-
40,9,Activity W,,normal,-,-
40,10,Activity B,,normal,-,-
40,11,■,,normal,-,-
41,0,▶,,normal,-,-
41,1,Activity A,,normal,-,-
41,2,Activity AB,,normal,-,-
41,3,Activity AE,,normal,-,-
41,4,Activity AC,,normal,-,-
41,5,Activity AG,,normal,-,-
41,6,Activity AK,,normal,-,-
41,7,Activity AH,,normal,-,-
41,8,Activity AL,,normal,-,-
41,9,Activity AO,,normal,-,-
41,10,Activity AM,,normal,-,-
41,11,Activity AP,,normal,-,-
41,12,Activity B,,normal,-,-
41,13,■,,normal,-,-
42,0,▶,,normal,-,-
42,1,Activity A,,normal,-,-
42,2,Activity AB,,normal,-,-
42,3,Activity AD,,normal,-,-
42,4,Activity AC,,normal,-,-
42,5,Activity AG,,normal,-,-
42,6,Activity AJ,,normal,-,-
42,7,Activity AH,,normal,-,-
42,8,Activity AL,,normal,-,-
42,9,Activity AN,,normal,-,-
42,10,Activity AM,,normal,-,-
42,11,Activity AP,,normal,-,-
42,12,Activity B,,normal,-,-
42,13,■,,normal,-,-
43,0,▶,,normal,-,-
43,1,Activity A,,normal,-,-
43,2,Activity AB,,normal,-,-
43,3,Activity AD,,normal,-,-
43,4,Activity AC,,normal,-,-
43,5,Activity AG,,normal,-,-
43,6,Activity AJ,,normal,-,-
43,7,Activity AH,,normal,-,-
43,8,Activity AL,,normal,-,-
43,9,Activity AN,,normal,-,-
43,10,Activity AM,,normal,-,-
43,11,Activity AP,,normal,-,-
43,12,Activity B,,normal,-,-
43,13,■,,normal,-,-
44,0,▶,,normal,-,-
44,1,Activity A,,normal,-,-
44,2,Activity C,,normal,-,-
44,3,Activity D,,normal,-,-
44,4,Activity E,,normal,-,-
44,5,Activity H,,normal,-,-
44,6,Activity F,,normal,-,-
44,7,Activity I,,normal,-,-
44,8,Activity M,,normal,-,-
44,9,Activity N,,normal,-,-
44,10,Activity J,,normal,-,-
44,11,Activity B,,normal,-,-
44,12,■,,normal,-,-
45,0,▶,,normal,-,-
45,1,Activity A,,normal,-,-
45,2,Activity C,,normal,-,-
45,3,Activity D,,normal,-,-
45,4,Activity E,,normal,-,-
45,5,Activity H,,normal,-,-
45,6,Activity F,,normal,-,-
45,7,Activity I,,normal,-,-
45,8,Activity M,,normal,-,-
45,9,Activity N,,normal,-,-
45,10,Activity J,,normal,-,-
45,11,Activity B,,normal,-,-
45,12,■,,normal,-,-
46,0,▶,,normal,-,-
46,1,Activity A,,normal,-,-
46,2,Activity AB,,normal,-,-
46,3,Activity AF,,normal,-,-
46,4,Activity AC,,normal,-,-
46,5,Activity AG,,normal,-,-
46,6,Activity AJ,,normal,-,-
46,7,Activity AH,,normal,-,-
46,8,Activity AL,,normal,-,-
46,9,Activity AO,,normal,-,-
46,10,Activity AM,,normal,-,-
46,11,Activity AP,,normal,-,-
46,12,Activity B,,normal,-,-
46,13,■,,normal,-,-
47,0,▶,,normal,-,-
47,1,Activity A,,normal,-,-
47,2,Activity AB,,normal,-,-
47,3,Activity AE,,normal,-,-
47,4,Activity AC,,normal,-,-
47,5,Activity AG,,normal,-,-
47,6,Activity AI,,normal,-,-
47,7,Activity AH,,normal,-,-
47,8,Activity AL,,normal,-,-
47,9,Activity AN,,normal,-,-
47,10,Activity AM,,normal,-,-
47,11,Activity AP,,normal,-,-
47,12,Activity B,,normal,-,-
47,13,■,,normal,-,-
48,0,▶,,normal,-,-
48,1,Activity A,,normal,-,-
48,2,Activity Q,,normal,-,-
48,3,Activity R,,normal,-,-
48,4,Activity S,,normal,-,-
48,5,Activity T,,normal,-,-
48,6,Activity U,,normal,-,-
48,7,Activity V,,normal,-,-
48,8,Activity Y,,normal,-,-
48,9,Activity W,,normal,-,-
48,10,Activity B,,normal,-,-
48,11,■,,normal,-,-
49,0,▶,,normal,-,-
49,1,Activity A,,normal,-,-
49,2,Activity AB,,normal,-,-
49,3,Activity AD,,normal,-,-
49,4,Activity AC,,normal,-,-
49,5,Activity AG,,normal,-,-
49,6,Activity AJ,,normal,-,-
49,7,Activity AH,,normal,-,-
49,8,Activity AL,,normal,-,-
49,9,Activity AO,,normal,-,-
49,10,Activity AM,,normal,-,-
49,11,Activity AP,,normal,-,-
49,12,Activity B,,normal,-,-
49,13,■,,normal,-,-
50,0,▶,,normal,-,-
50,1,Activity A,,normal,-,-
50,2,Activity C,,normal,-,-
50,3,Activity D,,normal,-,-
50,4,Activity E,,normal,-,-
50,5,Activity H,,normal,-,-
50,6,Activity F,,normal,-,-
50,7,Activity I,,normal,-,-
50,8,Activity M,,normal,-,-
50,9,Activity N,,normal,-,-
50,10,Activity J,,normal,-,-
50,11,Activity B,,normal,-,-
50,12,■,,normal,-,-
51,0,▶,,normal,-,-
51,1,Activity A,,normal,-,-
51,2,Activity AB,,normal,-,-
51,3,Activity AD,,normal,-,-
51,4,Activity AC,,normal,-,-
51,5,Activity AG,,normal,-,-
51,6,Activity AK,,normal,-,-
51,7,Activity AH,,normal,-,-
51,8,Activity AL,,normal,-,-
51,9,Activity AO,,normal,-,-
51,10,Activity AM,,normal,-,-
51,11,Activity AP,,normal,-,-
51,12,Activity B,,normal,-,-
51,13,■,,normal,-,-
52,0,▶,,normal,-,-
52,1,Activity A,,normal,-,-
52,2,Activity C,,normal,-,-
52,3,Activity D,,normal,-,-
52,4,Activity E,,normal,-,-
52,5,Activity G,,normal,-,-
52,6,Activity F,,normal,-,-
52,7,Activity I,,normal,-,-
52,8,Activity O,,normal,-,-
52,9,Activity P,,normal,-,-
52,10,Activity J,,normal,-,-
52,11,Activity B,,normal,-,-
52,12,■,,normal,-,-
53,0,▶,,normal,-,-
53,1,Activity A,,normal,-,-
53,2,Activity AB,,normal,-,-
53,3,Activity AD,,normal,-,-
53,4,Activity AC,,normal,-,-
53,5,Activity AG,,normal,-,-
53,6,Activity AK,,normal,-,-
53,7,Activity AH,,normal,-,-
53,8,Activity AL,,normal,-,-
53,9,Activity AO,,normal,-,-
53,10,Activity AM,,normal,-,-
53,11,Activity AP,,normal,-,-
53,12,Activity B,,normal,-,-
53,13,■,,normal,-,-
54,0,▶,,normal,-,-
54,1,Activity A,,normal,-,-
54,2,Activity AB,,normal,-,-
54,3,Activity AE,,normal,-,-
54,4,Activity AC,,normal,-,-
54,5,Activity AG,,normal,-,-
54,6,Activity AI,,normal,-,-
54,7,Activity AH,,normal,-,-
54,8,Activity AL,,normal,-,-
54,9,Activity AN,,normal,-,-
54,10,Activity AM,,normal,-,-
54,11,Activity AP,,normal,-,-
54,12,Activity B,,normal,-,-
54,13,■,,normal,-,-
55,0,▶,,normal,-,-
55,1,Activity A,,normal,-,-
