case_id,event_position,activity_name,timestamp,label,anomaly_type,anomaly_description
23,6,Activity U,,normal,-,-
23,7,Activity B,,normal,-,-
23,8,■,,normal,-,-
24,0,▶,,normal,-,-
24,1,Activity A,,normal,-,-
24,2,Activity BD,,normal,-,-
24,3,Activity BP,,normal,-,-
24,4,Activity BE,,normal,-,-
24,5,Activity BQ,,normal,-,-
24,6,Activity BR,,normal,-,-
24,7,Activity BX,,normal,-,-
24,8,Activity BS,,normal,-,-
24,9,Activity B,,normal,-,-
24,10,■,,normal,-,-
25,0,▶,,normal,-,-
25,1,Activity A,,normal,-,-
25,2,Activity T,,normal,-,-
25,3,Activity AN,,normal,-,-
25,4,Activity BA,,normal,-,-
25,5,Activity BB,,normal,-,-
25,6,Activity AO,,normal,-,-
25,7,Activity U,,normal,-,-
25,8,Activity B,,normal,-,-
25,9,■,,normal,-,-
26,0,▶,,normal,-,-
26,1,Activity A,,normal,-,-
26,2,Activity T,,normal,-,-
26,3,Activity V,,normal,-,-
26,4,Activity Y,,normal,-,-
26,5,Activity W,,normal,-,-
26,6,Activity AB,,normal,-,-
26,7,Activity U,,normal,-,-
26,8,Activity B,,normal,-,-
26,9,■,,normal,-,-
27,0,▶,,normal,-,-
27,1,Activity A,,normal,-,-
27,2,Activity BZ,,normal,-,-
27,3,Activity B,,normal,-,-
27,4,■,,normal,-,-
28,0,▶,,normal,-,-
28,1,Activity A,,normal,-,-
28,2,Activity T,,normal,-,-
28,3,Activity AN,,normal,-,-
28,4,Activity AP,,normal,-,-
28,5,Activity AO,,normal,-,-
28,6,Activity U,,normal,-,-
28,7,Activity B,,normal,-,-
28,8,■,,normal,-,-
29,0,▶,,normal,-,-
29,1,Activity A,,normal,-,-
29,2,Activity BD,,normal,-,-
29,3,Activity BP,,normal,-,-
29,4,Activity BE,,normal,-,-
29,5,Activity BQ,,normal,-,-
29,6,Activity BR,,normal,-,-
29,7,Activity BT,,normal,-,-
29,8,Activity BS,,normal,-,-
29,9,Activity B,,normal,-,-
29,10,■,,normal,-,-
30,0,▶,,normal,-,-
30,1,Activity A,,normal,-,-
30,2,Activity C,,normal,-,-
30,3,Activity E,,normal,-,-
30,4,Activity F,,normal,-,-
30,5,Activity D,,normal,-,-
30,6,Activity S,,normal,-,-
30,7,Activity B,,normal,-,-
30,8,■,,normal,-,-
31,0,▶,,normal,-,-
31,1,Activity A,,normal,-,-
31,2,Activity BD,,normal,-,-
31,3,Activity BP,,normal,-,-
31,4,Activity BE,,normal,-,-
31,5,Activity BQ,,normal,-,-
31,6,Activity BR,,normal,-,-
31,7,Activity BW,,normal,-,-
31,8,Activity BS,,normal,-,-
31,9,Activity B,,normal,-,-
31,10,■,,normal,-,-
32,0,▶,,normal,-,-
32,1,Activity A,,normal,-,-
32,2,Activity T,,normal,-,-
32,3,Activity AN,,normal,-,-
32,4,Activity AS,,normal,-,-
32,5,Activity AW,,normal,-,-
32,6,Activity AT,,normal,-,-
32,7,Activity AO,,normal,-,-
32,8,Activity U,,normal,-,-
32,9,Activity B,,normal,-,-
32,10,■,,normal,-,-
33,0,▶,,normal,-,-
33,1,Activity A,,normal,-,-
33,2,Activity T,,normal,-,-
33,3,Activity AC,,normal,-,-
33,4,Activity AI,,normal,-,-
33,5,Activity AJ,,normal,-,-
33,6,Activity AD,,normal,-,-
33,7,Activity U,,normal,-,-
33,8,Activity B,,normal,-,-
33,9,■,,normal,-,-
34,0,▶,,normal,-,-
34,1,Activity A,,normal,-,-
34,2,Activity T,,normal,-,-
34,3,Activity AN,,normal,-,-
34,4,Activity AP,,normal,-,-
34,5,Activity AO,,normal,-,-
34,6,Activity U,,normal,-,-
34,7,Activity B,,normal,-,-
34,8,■,,normal,-,-
35,0,▶,,normal,-,-
35,1,Activity A,,normal,-,-
35,2,Activity C,,normal,-,-
35,3,Activity L,,normal,-,-
35,4,Activity Q,,normal,-,-
35,5,Activity M,,normal,-,-
35,6,Activity D,,normal,-,-
35,7,Activity S,,normal,-,-
35,8,Activity B,,normal,-,-
35,9,■,,normal,-,-
36,0,▶,,normal,-,-
36,1,Activity A,,normal,-,-
36,2,Activity BC,,normal,-,-
36,3,Activity B,,normal,-,-
36,4,■,,normal,-,-
37,0,▶,,normal,-,-
37,1,Activity A,,normal,-,-
37,2,Activity BD,,normal,-,-
37,3,Activity BO,,normal,-,-
37,4,Activity BE,,normal,-,-
37,5,Activity BQ,,normal,-,-
37,6,Activity BR,,normal,-,-
37,7,Activity BT,,normal,-,-
37,8,Activity BS,,normal,-,-
37,9,Activity B,,normal,-,-
37,10,■,,normal,-,-
38,0,▶,,normal,-,-
38,1,Activity A,,normal,-,-
38,2,Activity T,,normal,-,-
38,3,Activity AK,,normal,-,-
38,4,Activity AL,,normal,-,-
38,5,Activity AM,,normal,-,-
38,6,Activity U,,normal,-,-
38,7,Activity B,,normal,-,-
38,8,■,,normal,-,-
39,0,▶,,normal,-,-
39,1,Activity A,,normal,-,-
39,2,Activity BC,,normal,-,-
39,3,Activity B,,normal,-,-
39,4,■,,normal,-,-
40,0,▶,,normal,-,-
40,1,Activity A,,normal,-,-
40,2,Activity T,,normal,-,-
40,3,Activity AN,,normal,-,-
40,4,Activity AP,,normal,-,-
40,5,Activity AO,,normal,-,-
40,6,Activity U,,normal,-,-
40,7,Activity B,,normal,-,-
40,8,■,,normal,-,-
41,0,▶,,normal,-,-
41,1,Activity A,,normal,-,-
41,2,Activity T,,normal,-,-
41,3,Activity AN,,normal,-,-
41,4,Activity AQ,,normal,-,-
41,5,Activity AR,,normal,-,-
41,6,Activity AO,,normal,-,-
41,7,Activity U,,normal,-,-
41,8,Activity B,,normal,-,-
41,9,■,,normal,-,-
42,0,▶,,normal,-,-
42,1,Activity A,,normal,-,-
42,2,Activity BZ,,normal,-,-
42,3,Activity B,,normal,-,-
42,4,■,,normal,-,-
43,0,▶,,normal,-,-
43,1,Activity A,,normal,-,-
43,2,Activity T,,normal,-,-
43,3,Activity AN,,normal,-,-
43,4,Activity AP,,normal,-,-
43,5,Activity AO,,normal,-,-
43,6,Activity U,,normal,-,-
43,7,Activity B,,normal,-,-
43,8,■,,normal,-,-
44,0,▶,,normal,-,-
44,1,Activity A,,normal,-,-
44,2,Activity C,,normal,-,-
44,3,Activity L,,normal,-,-
44,4,Activity P,,normal,-,-
44,5,Activity M,,normal,-,-
44,6,Activity D,,normal,-,-
44,7,Activity S,,normal,-,-
44,8,Activity B,,normal,-,-
44,9,■,,normal,-,-
45,0,▶,,normal,-,-
45,1,Activity A,,normal,-,-
45,2,Activity C,,normal,-,-
45,3,Activity L,,normal,-,-
45,4,Activity P,,normal,-,-
45,5,Activity M,,normal,-,-
45,6,Activity D,,normal,-,-
45,7,Activity S,,normal,-,-
45,8,Activity B,,normal,-,-
45,9,■,,normal,-,-
46,0,▶,,normal,-,-
46,1,Activity A,,normal,-,-
46,2,Activity BZ,,normal,-,-
46,3,Activity B,,normal,-,-
46,4,■,,normal,-,-
47,0,▶,,normal,-,-
47,1,Activity A,,normal,-,-
47,2,Activity C,,normal,-,-
47,3,Activity L,,normal,-,-
47,4,Activity O,,normal,-,-
47,5,Activity M,,normal,-,-
47,6,Activity D,,normal,-,-
47,7,Activity S,,normal,-,-
47,8,Activity B,,normal,-,-
47,9,■,,normal,-,-
48,0,▶,,normal,-,-
48,1,Activity A,,normal,-,-
48,2,Activity T,,normal,-,-
48,3,Activity AN,,normal,-,-
48,4,Activity AP,,normal,-,-
48,5,Activity AO,,normal,-,-
48,6,Activity U,,normal,-,-
48,7,Activity B,,normal,-,-
48,8,■,,normal,-,-
49,0,▶,,normal,-,-
49,1,Activity A,,normal,-,-
49,2,Activity T,,normal,-,-
49,3,Activity AN,,normal,-,-
49,4,Activity BA,,normal,-,-
49,5,Activity BB,,normal,-,-
49,6,Activity AO,,normal,-,-
49,7,Activity U,,normal,-,-
49,8,Activity B,,normal,-,-
49,9,■,,normal,-,-
50,0,▶,,normal,-,-
50,1,Activity A,,normal,-,-
50,2,Activity BC,,normal,-,-
50,3,Activity B,,normal,-,-
50,4,■,,normal,-,-
51,0,▶,,normal,-,-
51,1,Activity A,,normal,-,-
51,2,Activity BD,,normal,-,-
51,3,Activity BJ,,normal,-,-
51,4,Activity BL,,normal,-,-
51,5,Activity BK,,normal,-,-
51,6,Activity BE,,normal,-,-
51,7,Activity BQ,,normal,-,-
51,8,Activity BR,,normal,-,-
51,9,Activity BW,,normal,-,-
51,10,Activity BS,,normal,-,-
51,11,Activity B,,normal,-,-
51,12,■,,normal,-,-
52,0,▶,,normal,-,-
52,1,Activity A,,normal,-,-
52,2,Activity C,,normal,-,-
52,3,Activity E,,normal,-,-
52,4,Activity F,,normal,-,-
52,5,Activity D,,normal,-,-
52,6,Activity S,,normal,-,-
52,7,Activity B,,normal,-,-
52,8,■,,normal,-,-
53,0,▶,,normal,-,-
53,1,Activity A,,normal,-,-
53,2,Activity BC,,normal,-,-
53,3,Activity B,,normal,-,-
53,4,■,,normal,-,-
54,0,▶,,normal,-,-
54,1,Activity A,,normal,-,-
54,2,Activity T,,normal,-,-
54,3,Activity AK,,normal,-,-
54,4,Activity AL,,normal,-,-
54,5,Activity AM,,normal,-,-
54,6,Activity U,,normal,-,-
54,7,Activity B,,normal,-,-
54,8,■,,normal,-,-
55,0,▶,,normal,-,-
55,1,Activity A,,normal,-,-
55,2,Activity C,,normal,-,-
55,3,Activity R,,normal,-,-
55,4,Activity D,,normal,-,-
55,5,Activity S,,normal,-,-
55,6,Activity B,,normal,-,-
55,7,■,,normal,-,-
56,0,▶,,normal,-,-
56,1,Activity A,,normal,-,-
56,2,Activity C,,normal,-,-
56,3,Activity E,,normal,-,-
56,4,Activity F,,normal,-,-
56,5,Activity D,,normal,-,-
56,6,Activity S,,normal,-,-
56,7,Activity B,,normal,-,-
56,8,■,,normal,-,-
57,0,▶,,normal,-,-
57,1,Activity A,,normal,-,-
57,2,Activity BC,,normal,-,-
57,3,Activity B,,normal,-,-
57,4,■,,normal,-,-
58,0,▶,,normal,-,-
58,1,Activity A,,normal,-,-
58,2,Activity C,,normal,-,-
58,3,Activity L,,normal,-,-
58,4,Activity O,,normal,-,-
58,5,Activity M,,normal,-,-
58,6,Activity D,,normal,-,-
58,7,Activity S,,normal,-,-
58,8,Activity B,,normal,-,-
58,9,■,,normal,-,-
59,0,▶,,normal,-,-
59,1,Activity A,,normal,-,-
59,2,Activity C,,normal,-,-
59,3,Activity L,,normal,-,-
59,4,Activity N,,normal,-,-
59,5,Activity M,,normal,-,-
59,6,Activity D,,normal,-,-
59,7,Activity S,,normal,-,-
59,8,Activity B,,normal,-,-
59,9,■,,normal,-,-
60,0,▶,,normal,-,-
60,1,Activity A,,normal,-,-
60,2,Activity BZ,,normal,-,-
60,3,Activity B,,normal,-,-
60,4,■,,normal,-,-
61,0,▶,,normal,-,-
61,1,Activity A,,normal,-,-
61,2,Activity C,,normal,-,-
61,3,Activity E,,normal,-,-
61,4,Activity F,,normal,-,-
61,5,Activity D,,normal,-,-
61,6,Activity S,,normal,-,-
61,7,Activity B,,normal,-,-
61,8,■,,normal,-,-
62,0,▶,,normal,-,-
62,1,Activity A,,normal,-,-
62,2,Activity T,,normal,-,-
62,3,Activity AN,,normal,-,-
62,4,Activity AP,,normal,-,-
62,5,Activity AO,,normal,-,-
62,6,Activity U,,normal,-,-
62,7,Activity B,,normal,-,-
62,8,■,,normal,-,-
63,0,▶,,normal,-,-
63,1,Activity A,,normal,-,-
63,2,Activity T,,normal,-,-
63,3,Activity AN,,normal,-,-
63,4,Activity AQ,,normal,-,-
63,5,Activity AR,,normal,-,-
63,6,Activity AO,,normal,-,-
63,7,Activity U,,normal,-,-
63,8,Activity B,,normal,-,-
63,9,■,,normal,-,-
64,0,▶,,normal,-,-
64,1,Activity A,,normal,-,-
64,2,Activity BD,,normal,-,-
64,3,Activity BO,,normal,-,-
64,4,Activity BE,,normal,-,-
64,5,Activity BQ,,normal,-,-
64,6,Activity BR,,normal,-,-
64,7,Activity BT,,normal,-,-
64,8,Activity BS,,normal,-,-
64,9,Activity B,,normal,-,-
64,10,■,,normal,-,-
65,0,▶,,normal,-,-
65,1,Activity A,,normal,-,-
65,2,Activity T,,normal,-,-
65,3,Activity AN,,normal,-,-
65,4,Activity AP,,normal,-,-
65,5,Activity AO,,normal,-,-
65,6,Activity U,,normal,-,-
65,7,Activity B,,normal,-,-
65,8,■,,normal,-,-
66,0,▶,,normal,-,-
66,1,Activity A,,normal,-,-
66,2,Activity C,,normal,-,-
66,3,Activity L,,normal,-,-
66,4,Activity O,,normal,-,-
66,5,Activity M,,normal,-,-
66,6,Activity D,,normal,-,-
66,7,Activity S,,normal,-,-
66,8,Activity B,,normal,-,-
66,9,■,,normal,-,-
67,0,▶,,normal,-,-
67,1,Activity A,,normal,-,-
67,2,Activity C,,normal,-,-
67,3,Activity E,,normal,-,-
67,4,Activity F,,normal,-,-
67,5,Activity D,,normal,-,-
67,6,Activity S,,normal,-,-
67,7,Activity B,,normal,-,-
67,8,■,,normal,-,-
68,0,▶,,normal,-,-
68,1,Activity A,,normal,-,-
68,2,Activity T,,normal,-,-
68,3,Activity AN,,normal,-,-
68,4,Activity AQ,,normal,-,-
68,5,Activity AR,,normal,-,-
68,6,Activity AO,,normal,-,-
68,7,Activity U,,normal,-,-
68,8,Activity B,,normal,-,-
68,9,■,,normal,-,-
69,0,▶,,normal,-,-
69,1,Activity A,,normal,-,-
69,2,Activity BC,,normal,-,-
69,3,Activity B,,normal,-,-
69,4,■,,normal,-,-
70,0,▶,,normal,-,-
70,1,Activity A,,normal,-,-
70,2,Activity T,,normal,-,-
70,3,Activity AN,,normal,-,-
70,4,Activity AQ,,normal,-,-
70,5,Activity AR,,normal,-,-
70,6,Activity AO,,normal,-,-
70,7,Activity U,,normal,-,-
70,8,Activity B,,normal,-,-
70,9,■,,normal,-,-
71,0,▶,,normal,-,-
71,1,Activity A,,normal,-,-
71,2,Activity C,,normal,-,-
71,3,Activity L,,normal,-,-
71,4,Activity P,,normal,-,-
71,5,Activity M,,normal,-,-
71,6,Activity D,,normal,-,-
71,7,Activity S,,normal,-,-
71,8,Activity B,,normal,-,-
71,9,■,,normal,-,-
72,0,▶,,normal,-,-
72,1,Activity A,,normal,-,-
72,2,Activity T,,normal,-,-
72,3,Activity AN,,normal,-,-
72,4,Activity AS,,normal,-,-
72,5,Activity AU,,normal,-,-
72,6,Activity AT,,normal,-,-
72,7,Activity AO,,normal,-,-
72,8,Activity U,,normal,-,-
72,9,Activity B,,normal,-,-
72,10,■,,normal,-,-
73,0,▶,,normal,-,-
73,1,Activity A,,normal,-,-
73,2,Activity C,,normal,-,-
73,3,Activity R,,normal,-,-
73,4,Activity D,,normal,-,-
73,5,Activity S,,normal,-,-
73,6,Activity B,,normal,-,-
73,7,■,,normal,-,-
74,0,▶,,normal,-,-
74,1,Activity A,,normal,-,-
74,2,Activity T,,normal,-,-
74,3,Activity AN,,normal,-,-
74,4,Activity AQ,,normal,-,-
74,5,Activity AR,,normal,-,-
74,6,Activity AO,,normal,-,-
74,7,Activity U,,normal,-,-
74,8,Activity B,,normal,-,-
74,9,■,,normal,-,-
75,0,▶,,normal,-,-
75,1,Activity A,,normal,-,-
75,2,Activity T,,normal,-,-
75,3,Activity AK,,normal,-,-
75,4,Activity AL,,normal,-,-
75,5,Activity AM,,normal,-,-
75,6,Activity U,,normal,-,-
75,7,Activity B,,normal,-,-
75,8,■,,normal,-,-
76,0,▶,,normal,-,-
76,1,Activity A,,normal,-,-
76,2,Activity C,,normal,-,-
76,3,Activity R,,normal,-,-
76,4,Activity D,,normal,-,-
76,5,Activity S,,normal,-,-
76,6,Activity B,,normal,-,-
76,7,■,,normal,-,-
77,0,▶,,normal,-,-
77,1,Activity A,,normal,-,-
77,2,Activity T,,normal,-,-
77,3,Activity AK,,normal,-,-
77,4,Activity AL,,normal,-,-
77,5,Activity AM,,normal,-,-
77,6,Activity U,,normal,-,-
77,7,Activity B,,normal,-,-
77,8,■,,normal,-,-
78,0,▶,,normal,-,-
78,1,Activity A,,normal,-,-
78,2,Activity C,,normal,-,-
78,3,Activity L,,normal,-,-
78,4,Activity P,,normal,-,-
78,5,Activity M,,normal,-,-
78,6,Activity D,,normal,-,-
78,7,Activity S,,normal,-,-
78,8,Activity B,,normal,-,-
78,9,■,,normal,-,-
79,0,▶,,normal,-,-
79,1,Activity A,,normal,-,-
79,2,Activity T,,normal,-,-
79,3,Activity AN,,normal,-,-
79,4,Activity AP,,normal,-,-
79,5,Activity AO,,normal,-,-
79,6,Activity U,,normal,-,-
79,7,Activity B,,normal,-,-
79,8,■,,normal,-,-
80,0,▶,,normal,-,-
80,1,Activity A,,normal,-,-
80,2,Activity BC,,normal,-,-
80,3,Activity B,,normal,-,-
80,4,■,,normal,-,-
81,0,▶,,normal,-,-
81,1,Activity A,,normal,-,-
81,2,Activity C,,normal,-,-
81,3,Activity L,,normal,-,-
81,4,Activity Q,,normal,-,-
81,5,Activity M,,normal,-,-
81,6,Activity D,,normal,-,-
81,7,Activity S,,normal,-,-
81,8,Activity B,,normal,-,-
81,9,■,,normal,-,-
82,0,▶,,anomalous,Late,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
82,1,Activity L,,anomalous,Late,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
82,2,Activity P,,anomalous,Late,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
82,3,Activity A,,anomalous,Late,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
82,4,Activity C,,anomalous,Late,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
82,5,Activity M,,anomalous,Late,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
82,6,Activity D,,anomalous,Late,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
82,7,Activity S,,anomalous,Late,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
82,8,Activity B,,anomalous,Late,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
82,9,■,,anomalous,Late,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
83,0,▶,,normal,-,-
83,1,Activity A,,normal,-,-
83,2,Activity T,,normal,-,-
83,3,Activity AN,,normal,-,-
83,4,Activity AP,,normal,-,-
83,5,Activity AO,,normal,-,-
83,6,Activity U,,normal,-,-
83,7,Activity B,,normal,-,-
83,8,■,,normal,-,-
84,0,▶,,normal,-,-
84,1,Activity A,,normal,-,-
84,2,Activity T,,normal,-,-
84,3,Activity AK,,normal,-,-
84,4,Activity AL,,normal,-,-
84,5,Activity AM,,normal,-,-
84,6,Activity U,,normal,-,-
84,7,Activity B,,normal,-,-
84,8,■,,normal,-,-
85,0,▶,,normal,-,-
85,1,Activity A,,normal,-,-
85,2,Activity BZ,,normal,-,-
85,3,Activity B,,normal,-,-
85,4,■,,normal,-,-
86,0,▶,,normal,-,-
86,1,Activity A,,normal,-,-
86,2,Activity C,,normal,-,-
86,3,Activity L,,normal,-,-
86,4,Activity P,,normal,-,-
86,5,Activity M,,normal,-,-
86,6,Activity D,,normal,-,-
86,7,Activity S,,normal,-,-
86,8,Activity B,,normal,-,-
86,9,■,,normal,-,-
87,0,▶,,normal,-,-
87,1,Activity A,,normal,-,-
87,2,Activity T,,normal,-,-
87,3,Activity AK,,normal,-,-
87,4,Activity AL,,normal,-,-
87,5,Activity AM,,normal,-,-
87,6,Activity U,,normal,-,-
87,7,Activity B,,normal,-,-
87,8,■,,normal,-,-
88,0,▶,,normal,-,-
88,1,Activity A,,normal,-,-
88,2,Activity BZ,,normal,-,-
88,3,Activity B,,normal,-,-
88,4,■,,normal,-,-
89,0,▶,,normal,-,-
89,1,Activity A,,normal,-,-
89,2,Activity T,,normal,-,-
89,3,Activity AN,,normal,-,-
89,4,Activity AS,,normal,-,-
89,5,Activity AX,,normal,-,-
89,6,Activity AT,,normal,-,-
89,7,Activity AO,,normal,-,-
89,8,Activity U,,normal,-,-
89,9,Activity B,,normal,-,-
89,10,■,,normal,-,-
